host_id,host_name,host_response_time,host_listings_count,neighbourhood,city,zipcode,market,country,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,weekly_price,monthly_price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,cancellation_policy
956883,Maija,within a few hours,3,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Entire home/apt,4,1,1,1,$85.00,,,1,365,207,95,moderate
5177328,Andrea,within an hour,6,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Entire home/apt,4,1,1,1,$150.00,"$1,000.00","$3,000.00",2,90,43,96,strict
16708587,Jill,within a few hours,2,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,11,4.5,5,7,$975.00,,,4,30,20,97,strict
9851441,Emily,N/A,1,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Entire home/apt,3,1,0,2,$100.00,$650.00,"$2,300.00",1,1125,0,,flexible
1452570,Emily,within an hour,2,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,6,2,3,3,$450.00,,,1,1125,38,92,strict
326758,Andrew,N/A,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Private room,2,1,1,1,$120.00,$800.00,,1,6,17,95,strict
2497928,Gary And Beth,within an hour,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Private room,2,1,1,1,$80.00,$575.00,,3,14,58,99,moderate
4016632,Jean-Marc,within an hour,5,West Queen Anne,Seattle,98119,Seattle,United States,Cabin,Private room,2,1,1,1,$60.00,$360.00,,2,7,173,97,strict
2166277,Aliza,N/A,1,West Queen Anne,Seattle,98109,Seattle,United States,Apartment,Private room,2,1,1,1,$90.00,$500.00,"$1,700.00",3,1125,8,97,strict
5177328,Andrea,within an hour,6,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Entire home/apt,4,1,1,1,$150.00,"$1,000.00","$3,000.00",2,365,32,97,strict
239585,Ray & Eileen,within a few hours,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,2,1,1,1,$95.00,$595.00,,3,7,181,97,moderate
4606439,Nadia,within a few hours,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,2,1,1,1,$99.00,$800.00,"$2,000.00",3,1125,8,97,strict
19932967,Pat & Roberta,within an hour,1,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Entire home/apt,4,1,2,3,$245.00,"$1,575.00","$5,800.00",3,14,13,98,moderate
25899989,Ellie,within an hour,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,5,1,2,3,$165.00,,"$5,000.00",2,1125,3,100,strict
22372266,Sarah,within an hour,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,16,3.5,6,15,$461.00,,,3,29,18,98,strict
2983711,Paige,within a few hours,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,5,1,2,2,$109.00,,,3,15,1,80,strict
9465817,Libby,within an hour,1,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Private room,2,1,1,1,$66.00,,,1,10,84,95,moderate
25417834,Markus And Melissa,within an hour,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Private room,2,1,1,1,$99.00,,,2,14,45,98,moderate
6170760,Sam,N/A,1,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Private room,2,2,1,1,$200.00,,,1,1125,0,,flexible
32713558,Kary,N/A,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,10,3.5,5,5,$700.00,"$4,100.00",,3,30,5,85,flexible
14100483,Annie,within a few hours,1,West Queen Anne,Seattle,98119,Seattle,United States,Condominium,Entire home/apt,1,1,1,1,$110.00,$750.00,"$2,500.00",1,1125,1,100,flexible
21401856,Nick,within an hour,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Private room,3,1.5,1,2,$99.00,$568.00,"$2,029.00",1,1125,11,84,moderate
46675077,Susanna,within a day,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,8,2,4,4,$450.00,"$3,000.00",,4,1125,1,100,flexible
51860756,Maggie & Alex,N/A,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Private room,2,1,1,1,$75.00,$350.00,,1,1125,0,,flexible
33147763,Tracy,N/A,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,5,2.5,3,3,$600.00,,,3,1125,1,100,moderate
16708587,Jill,within a few hours,2,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,8,2.5,3,5,$450.00,,,4,1125,8,100,strict
68155,Lori,within a few hours,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,5,1,2,3,$150.00,,,1,1125,0,,flexible
4016632,Jean-Marc,within an hour,5,West Queen Anne,Seattle,98119,Seattle,United States,Camper/RV,Private room,2,1,1,1,$45.00,$360.00,,2,7,80,95,strict
3792761,Kimberly,within an hour,5,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Entire home/apt,6,2,3,3,$300.00,,,2,1125,6,100,moderate
6184895,Lana,within an hour,1,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Entire home/apt,3,1,1,2,$80.00,$500.00,,2,1125,4,85,strict
5177328,Andrea,within an hour,6,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Entire home/apt,4,1,1,1,$175.00,"$1,000.00","$3,200.00",2,365,38,96,strict
5325329,Blair,within a few hours,9,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,6,1.5,3,3,$325.00,,,2,1125,68,92,strict
31037494,Silvia,within a day,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,4,3,3,2,$175.00,$699.00,"$2,388.00",4,120,8,88,flexible
25906186,Vacation,within an hour,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,7,3.5,4,3,$222.00,"$1,325.00","$4,650.00",2,1125,5,75,strict
8916363,Paige,within an hour,1,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Entire home/apt,4,1,2,2,$159.00,,,1,1125,62,97,strict
40335071,Kevin,within an hour,2,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Entire home/apt,4,1,1,2,$125.00,$800.00,"$2,700.00",2,365,19,95,moderate
6544973,Joe & Anna,within a day,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,8,3,3,3,$348.00,"$2,500.00",,3,1125,5,96,strict
21072725,Chris,a few days or more,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Private room,1,1,1,1,$45.00,$450.00,"$1,500.00",1,1125,7,97,flexible
40335071,Kevin,within an hour,2,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Entire home/apt,4,1,1,2,$150.00,$950.00,"$2,950.00",2,365,2,100,moderate
2052160,Ruth,within a few hours,1,West Queen Anne,Seattle,98109,Seattle,United States,Apartment,Entire home/apt,2,1,0,1,$80.00,,,3,1125,11,98,flexible
21896205,Henry,within an hour,1,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Entire home/apt,4,1,1,2,$110.00,,,2,1125,71,90,moderate
8242272,Debera,within a few hours,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,3,1,1,2,$148.00,,,3,365,9,91,strict
2315558,Holly,N/A,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,4,1.5,2,2,$350.00,"$2,100.00",,2,30,41,98,moderate
17597607,Nicole,within an hour,1,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Entire home/apt,3,1.5,1,2,$150.00,,,2,1125,18,98,moderate
34392395,Sam,within a day,1,West Queen Anne,Seattle,98109,Seattle,United States,House,Private room,5,1,1,1,$150.00,$540.00,"$1,911.00",1,1125,9,100,flexible
9031463,Marina,within a day,1,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Entire home/apt,2,1,0,1,$100.00,,,1,1125,20,92,flexible
